Housing & Urban Devp. Corpn. Ltd.,,,,,,0.06,1.32,2,7.24,5.3,7.22
I C I C I Bank Ltd.,1.39,2.02,1.27,2.17,1.86,0.64,0.41,0.19,0,0.25,0.6
I C I C I Lombard General Insurance Co. Ltd.,,,,,,0.1,0.57,0.53,0,0.88,0.84
I C I C I Prudential Life Insurance Co. Ltd.,,,,,0.51,1.7,1.71,0.46,0,0.36,0.12
I C I C I Securities Ltd.,,,,,,,3.61,2.12,3.62,3.44,4.57
I D B I Bank Ltd.,3.25,7.62,0.39,1.27,0,0,0,0,0,0,0
I D F C First Bank Ltd.,,,,0,0.42,1.32,1.66,0,0,0,0
I D F C Ltd.,1.35,2.79,1.51,6.42,0,0.44,1.9,9.12,0,0,1.17
I F B Industries Ltd.,0,0,0,0,0,0,0,0,0,0,0
I I F L Finance Ltd.,1.79,4.77,3.35,0,1.43,0.62,1.16,2.98,1.53,0.96,0.68
I R B Infrastructure Developers Ltd.,1.65,5.19,1.48,1.64,0.86,3.11,3.45,0,4.61,0,0.44
I T C Ltd.,1.46,1.61,1.63,1.96,2.2,1.75,1.85,2.44,4.99,4.88,3.26
